,id,dt,t,side,price,amount,cost
108,4315142464,2024-12-21 01:19:31.578000+00:00,1734743971578,1,97440.55,0.08457,8240.5473135
109,4315142465,2024-12-21 01:19:31.579000+00:00,1734743971579,1,97439.1,0.00016,15.590256
110,4315142466,2024-12-21 01:19:31.579000+00:00,1734743971579,1,97438.3,0.07076,6894.734108
111,4315142467,2024-12-21 01:19:31.579000+00:00,1734743971579,1,97438.3,0.10109,9850.037747
112,4315142468,2024-12-21 01:19:31.579000+00:00,1734743971579,1,97437.87,0.01509,1470.3374583
113,4315142469,2024-12-21 01:19:31.579000+00:00,1734743971579,1,97437.61,0.20009,19496.2913849
114,4315142470,2024-12-21 01:19:31.580000+00:00,1734743971580,1,97437.61,0.00526,512.5218286
115,4315142471,2024-12-21 01:19:31.580000+00:00,1734743971580,1,97437.6,0.01514,1475.205264
116,4315142472,2024-12-21 01:19:31.583000+00:00,1734743971583,1,97436.71,0.01519,1480.0636249
117,4315142473,2024-12-21 01:19:31.583000+00:00,1734743971583,1,97435.93,0.00016,15.5897488
118,4315142474,2024-12-21 01:19:31.583000+00:00,1734743971583,1,97435.42,0.30801,30011.0837142
119,4315142475,2024-12-21 01:19:31.583000+00:00,1734743971583,1,97435.37,0.00681,663.5348697
120,4315142476,2024-12-21 01:19:31.583000+00:00,1734743971583,1,97434.16,0.003,292.30248
121,4315142477,2024-12-21 01:19:31.583000+00:00,1734743971583,1,97433.73,0.05872,5721.3086256
122,4315142478,2024-12-21 01:19:31.583000+00:00,1734743971583,1,97433.38,0.06005,5850.874469
123,4315142479,2024-12-21 01:19:31.583000+00:00,1734743971583,1,97432.97,0.17845,17386.9134965
124,4315142480,2024-12-21 01:19:31.583000+00:00,1734743971583,1,97437.62,0.0001,9.743762
125,4315142481,2024-12-21 01:19:31.583000+00:00,1734743971583,1,97437.62,0.0001,9.743762
126,4315142482,2024-12-21 01:19:31.586000+00:00,1734743971586,1,97437.61,0.0001,9.743761
127,4315142483,2024-12-21 01:19:31.586000+00:00,1734743971586,1,97437.61,6e-05,5.8462566
128,4315142484,2024-12-21 01:19:31.586000+00:00,1734743971586,1,97437.61,0.0001,9.743761
129,4315142485,2024-12-21 01:19:31.586000+00:00,1734743971586,1,97437.6,0.0001,9.74376
130,4315142486,2024-12-21 01:19:31.586000+00:00,1734743971586,1,97437.6,0.0001,9.74376
131,4315142487,2024-12-21 01:19:31.586000+00:00,1734743971586,1,97437.14,0.0001,9.743714
132,4315142488,2024-12-21 01:19:31.586000+00:00,1734743971586,1,97437.14,0.0001,9.743714
133,4315142489,2024-12-21 01:19:31.586000+00:00,1734743971586,1,97436.71,0.0001,9.743671
134,4315142490,2024-12-21 01:19:31.586000+00:00,1734743971586,1,97436.71,0.0001,9.743671
135,4315142491,2024-12-21 01:19:31.586000+00:00,1734743971586,1,97436.51,6e-05,5.8461906
136,4315142492,2024-12-21 01:19:31.587000+00:00,1734743971587,1,97435.93,0.0001,9.743593
137,4315142493,2024-12-21 01:19:31.587000+00:00,1734743971587,1,97435.93,0.0001,9.743593
138,4315142494,2024-12-21 01:19:31.587000+00:00,1734743971587,1,97435.43,6e-05,5.8461258
139,4315142495,2024-12-21 01:19:31.587000+00:00,1734743971587,1,97435.42,0.0001,9.743542
140,4315142496,2024-12-21 01:19:31.587000+00:00,1734743971587,1,97435.42,0.0001,9.743542
141,4315142497,2024-12-21 01:19:31.587000+00:00,1734743971587,1,97435.37,0.0001,9.743537
142,4315142498,2024-12-21 01:19:31.587000+00:00,1734743971587,1,97435.37,0.0001,9.743537
143,4315142499,2024-12-21 01:19:31.592000+00:00,1734743971592,1,97432.76,0.00016,15.5892416
144,4315142500,2024-12-21 01:19:31.592000+00:00,1734743971592,1,97432.27,6e-05,5.8459362
145,4315142501,2024-12-21 01:19:31.592000+00:00,1734743971592,1,97431.37,0.00032,31.1780384
146,4315142502,2024-12-21 01:19:31.592000+00:00,1734743971592,1,97431.19,8e-05,7.7944952
147,4315142503,2024-12-21 01:19:31.592000+00:00,1734743971592,1,97430.89,0.011,1071.73979
148,4315142504,2024-12-21 01:19:31.592000+00:00,1734743971592,1,97430.26,0.00031,30.2033806
149,4315142505,2024-12-21 01:19:31.592000+00:00,1734743971592,1,97429.59,0.00016,15.5887344
150,4315142506,2024-12-21 01:19:31.592000+00:00,1734743971592,1,97429.12,0.02791,2719.2467392
151,4315142507,2024-12-21 01:19:31.593000+00:00,1734743971593,1,97431.66,6e-05,5.8458996
152,4315142508,2024-12-21 01:19:31.593000+00:00,1734743971593,1,97429.12,0.1047,10200.828864
153,4315142509,2024-12-21 01:19:31.593000+00:00,1734743971593,1,97429.12,0.0565,5504.74528
154,4315142510,2024-12-21 01:19:31.593000+00:00,1734743971593,1,97429.08,0.00014,13.6400712
155,4315142511,2024-12-21 01:19:31.593000+00:00,1734743971593,1,97428.42,6e-05,5.8457052
156,4315142512,2024-12-21 01:19:31.593000+00:00,1734743971593,1,97428.0,0.004,389.712
